"keywords","paper_count"
NULL,"16"
"N/A","9"
NULL,"9"
"differential gene expression; ovary; RNA-seq; social insect; testis","2"
"microsatellites; 16S rRNA; bacterial communities; spotted wing Drosophila fly; artificial rearing; bacteriome; symbionts; sterile insect technique","1"
"Diptera: Tephritidae; RNA-seq; Anastrepha ludens; mating; accessory glands","1"
"MTF-1, Heavy metal homeostasis, Zinc, Copper, Metallothionein,Transcription","1"
"Bombyx mori; behavioral domestication; climbing; mimicry; bulked segregant analysis; selection sweep screening","1"
"sex-biased expression; sequence evolution; sexual selection; domestication; duck","1"
"Hermetia illucens; Black Soldier Fly; genome assembly; Hi-C assembly; PacBio; BRAKER2; genome annotation; inbreeding; domestication","1"
"adaptation; feminization; genomics; rapid evolution; sexual signaling; trait loss","1"
"Bioinformatics; Molecular biology","1"
"Hermetia illucens, Cadmium, Metallothionein, Biomarker, Organic waste treatment, Gene expression, ELISA","1"
"Insect frass; Maize plant growth; Cadmium accumulation","1"
"Insect development; Reproduction; Juvenile hormone; Ecdysone; Non-coding RNA; Isoforms","1"
"agriculture; entomophagy; farming; gene expression; insect eyecolor; protein; RNA‐Seq; Tenebrio molitor; vermilion","1"
"Insects, Polymerase chain reaction, Larvae, Drosophila melanogaster, DNA extraction, Genotyping, Insect physiology, DNA","1"
"black soldier fly; larvae; food waste; CN ratio; antimicrobial proteins; transcriptome; Hermetia illucens; element recycle; gene family","1"
"Domestication, Decrease, Gene expression diversity","1"
"insect, tandem duplication, genome evolution, MtnF, metallothionein, heavy metal","1"
" transgenic silkworm; midgut; black soldier fly; antimicrobial peptide; transcriptome sequencing","1"
"black soldier fly; egg production; morphometric characteristic; selective inbreeding; life-history","1"
"Black soldier fly, Hermetia illucens, mtDNA COI haplotypes, Nuclear rDNA","1"
"spermatogenesis; stage-specific gene expression; AHA1HSP90; Bombyx mori","1"
"maternal mRNA deposition; effects of nutrition; gene expression; life history; RNA-Seq","1"
"food-webs; gut content; insect–plant interaction; molecular ecology; molecular taxonomy;psbA-trnHintergenic spacer","1"
"METHOPRENE-TOLERANT; GENE-EXPRESSION; FAT-BODY; RECEPTOR; METAMORPHOSIS; VITELLOGENESIS; REPRODUCTION; ACTIVATION; PLASTICITY; PATHWAYS","1"
"Hermetia illucens; insect midgut; post-ingestion regulation; diet composition; midgut transcriptome; waste management","1"
"Bombyx mori; DNA methylation; Epigenetic regulation; Environmental signal; Heat stress","1"
"arthropod pests; insecticide resistance; climate change; epigenetic regulations; DNA methylation; histone modifications; symbiotic microbes","1"
"natural genetic variation; natural resources; oviposition acceptance; oviposition candidate genes; oviposition preference","1"
"Adaptation; Breeding environment; Food crisis; Genes; Phenotypes","1"
"dim red light; scotophase; mating enhancement; Conogethes punctiferalis; electroantennography; odorant binding proteins","1"
"Black soldier fly; Gene expression; HSP70; HSP90; Phylogenetic analysis","1"
"sexual selection; mass-rearing; colony management; demography;  Mexican fruit fly; Diptera; Tephritidae; SIT","1"
"Drosophila melanogaster; courtship; mushroom body; central complex; shibire","1"
"Gryllus campestris; field cricket; telomere","1"
"laboratory adaptation; mass-rearing; Q-fly; sexual behavior; sterile insect technique","1"
"LOCUST SCHISTOCERCA; BODY PLANS; A GENE; EVOLUTION; ULTRABITHORAX; DROSOPHILA; PROTEIN; ARTHROPODS; ORTHOLOG","1"
"Aedes aegypti; RNA-Seq; Differential gene expression; Blood meal; Egg development","1"
"Keywords Plus; DROSOPHILA; LET-7; LARVAE; SEQUENCE; MIRBASE; FEED","1"
"actin5Cpromoter; black soldier fly; hyPBase; transgenesis; U6 promoter","1"
"Insect model system; Arthropod model system; Coleoptera; Evolution of development; Physiology; Behavior; Pest control; Systemic RNAi; Genome-wide screen; CRISPR genome editing","1"
"Fluoride; Bombyx mori; Differential gene expression; Testes; Toxicity","1"
" Sex determination; courtship behavior; fat body; gene family; doublesex; fruitless","1"
"RNAseq, Diptera, Culicidae, Gene expression, Transcriptome, ALAN, LED","1"
"microRNAs, Bactrocera dorsalis, testis, spermatogenesis","1"
"speciation; sexual selection; sex- and reproduction-related genes; rapidly evolving genes","1"
"yellow mealworm; quantitative trait; insect as feed; rearing; productivity","1"
"CENTRAL-NERVOUS-SYSTEM; PIGMENT-CONCENTRATING; HORMONE; CRAYFISH; PROCAMBARUS-CLARKII; GIANT TIGER SHRIMP; METHYL FARNESOATE; OVARIAN MATURATION; WHITE SHRIMP; MANDIBULAR; ORGAN ESTROGEN; SULFOTRANSFERASE","1"
"Vesicular acetylcholine transporter; RNA interference; RNA-sequencing; Insecticide susceptibility; Tribolium castaneum","1"
"Innate Behaviors; Ecdysis; Sleep; Locomotor activity; Courtship; Oviposition ","1"
"housefly, heavy metal, transport, detoxification, luminal pH, metal binding peptide","1"
"Drosophila melanogaster; Selection; Macronutrient balance; High p:c diet; Metabolism; RNA-seq","1"
"aging; division of labor; fat body; king; ovary; testis","1"
"20-Hydroxyecdysone; Ecdysteroids; Gene duplication; Molting; P450; Steroid hydroxylation","1"
"assortative mating; Hermetia illucens; insect culture; genetic differentiation; microsatellite markers; multiple paternity","1"
"Black soldier fy, Fat accumulation mechanism, Transcriptome sequencing, Biodiesel, Biorefnery","1"
"preference; pheromones; mate choice; heterozygosity; sexual selection; good-genes","1"
"dsx; tra; tra2; Altica lythri; Wolbachia; Chrysomelidae; Sex determination; Female bias","1"
"Mosquito vision; Photoreceptor; UV sensitivity; Visual pigment; Rhodopsin coexpression","1"
"silkworm; improvement; silk gland; silk cocoon protein genes; nitrogen","1"
"Antheraea pernyi , silkworm, heavy metals, lead, antioxidant defense system, transcriptome","1"
"molecular diversity; evolution; defensin; gene duplication; homodimer; disulfide bridge","1"
"chemoprofile; cuticular hydrocarbons; diet; fruit fly; mating","1"
"dispersal evolution; Grapholita (= Cydia) molesta; invasive species; life history theory; trade-off","1"
"pesticide resistance; Epacromius coerulipes (Ivanov); transcriptome; differential gene expression analysis","1"
"biological control; population genetics; microsatellites; genetic differentiation; Acari; Phytoseiidae; biocontrol agent; integrated pest management","1"
"Achroia grisella; behavioral plasticity; G × E; inbred lines; lek; mating latency; precopulatory sexual selection; wax moth","1"
"Peptidoglycan; Antimicrobial peptide; NIAS-Bm-aff3; Immune priming; Wolbachia density","1"
"Yellow mealworm; beetle; Olfactory co-receptor; Double-stranded RNA; RNA interference; Mate searching","1"
"Bacterial diversity; Aquaculture; Distal Intestine; Fishmeal replacement; Illumina; Insect meal","1"
"antimicrobial peptide; butterfly; bioinformatics; identification; characterization","1"
"Hermetia illucens; acyl carrier protein; fatty acid; growth and development; RNAi","1"
"Silkworm; Dimethoate; RNA-Seq; Differential expression; genes ","1"
"area wide integrated pest management; experimental evolution; Mexican fruit fly; sexual isolation; Tephritidae","1"
"butterfly larvae, non-destructive sampling, Pieris rapae, Vanessa cardui, Vanessa virginianus","1"
"cap cells; germline; stem cells; juvenile hormone; oogenesis; ovary","1"
"Drosophila; Olfaction; Feeding; RNA sequencing; RNA interference","1"
"Genetic modifcation; Biological control; Risk assessment; Regulation; Biosafety","1"
"entomofarming; founder effects; genetic and phenotypic differentiation; inbreeding depression; selective breeding; selective sweep; vermiculture","1"
"Intraspecific genetic diversity; Niche partitioning; Insect host preference; Phenotypic plasticity; Habitat heterogeneity","1"
"female choice; lekking; male age; Lutzomyia longipalpis; male mating success","1"
"ascaroside; competition; contest behaviour; pheromone; Steinernema carpocapsae.","1"
"Gene function; Comparative genomics; RNAi screen; iBeetle; Tribolium castaneum; Drosophila melanogaster; Divergence of gene function; iBeetle-Base; FlyBase.","1"
"artificial selection; correlated evolution; global warming; heat tolerance evolution; insects; thermal stress","1"
"Hermetia illucens; Bioconversion; Fatty acids; Lipid metabolism; Gene characterization; Gene expression","1"
"adaption; development; domestication; Hermetia illucens; insect farming; metabolism","1"
"Bactrocera tryoni; domestication; quality control; sterile insect technique","1"
"chitin; chitin deacetylase; chitin synthase; chitinase; β‐N‐acetylhexosaminidase","1"
"housekeeping genes; PCR; stratiomyidae; cadmium; Diptera; larvae; QPCR","1"
"genetics, genomics, dispersal, olfaction, landscape ecology, insecticide resistance","1"
"Fruit fly; RNA-Seq analysis; Transcript annotation; Differential gene expression; Microsatellite markers","1"
"Antimicrobial peptide; Defensin; Black soldier fly; Hermetia illucens; Meticillin-resistant Staphylococcus aureus; INSECT DEFENSIN; ANTIMICROBIAL PEPTIDES; IMMUNITY; EXPRESSION; GENE; INFECTION; PROTEINS; MOSQUITO; ISOFORMS; CLONING","1"
"Antimicrobial peptides, Abaecin, Defensin, Melanization, Prophenoloxidase","1"
"novel foods, edible insects, metagenomic DNA analysis, nested-PCR, insect resistome","1"
"Antheraea pernyi; detoxification gene; coumaphos; differentially expressed genes","1"
"Nocturnal moths; Transcriptome; Artificial light at night; qRT-PCR","1"
"insulin-like peptides; feeding behaviour; CAFE assay; carbohydrate type ","1"
"antimicrobial resistance genes, horizontal gene transfer, metagenomic analysis, resistome, Shotgun, metagenome sequencing, database","1"
"Chemical ecology; Genome-wide; iBeetle; Odoriferous glands; RNA interference; RNAseq; Tribolium castaneum","1"
"innate immunity; antimicrobial peptide (AMP); molecular evolution; population genetics; diptericin; drosophila; diptera; attacin","1"
"aquatic insect; Protohermes costalis; cadmium; transcriptome; heat shock protein 70","1"
"developmental plasticity; evo-devo; insect; neuroendocrine; polyphenism","1"
"plant domestication; gene expression regulation; population bottleneck; phenotypic plasticity; environmental change; network topology; artificial selection; individual-based simulations; population genetics; genetic correlations","1"
"chemoreception; gustation; sensilla; nutrient sensing; glucose-aversion","1"
"Hermetia illucens; Phylogeny; Mitochondrial genome; Phylogeography","1"
"Genotype-genotype; Peritrophic membrane; Social insects","1"
"Experimental evolution; Lifespan; Reproduction; Trade-off; Tephritidae","1"
"behaviour; biodiversity; donor populations; Drosophila melanogaster; fitness; genetic rescue; genetic variation; inbreeding depression; negative geotaxis; population fragmentation","1"
"autofluorescence; bioreactors; silkworms; therapeutic proteins; transgenic modifications.","1"
"ight pollution; artificial light at night; ALAN; insects; circadian rhythm; extracellular RNA","1"
"Bioconversion; Sustainable agriculture; Breeding; Adaptive plasticity; Entomophagy; Microbiome; Industrial entomology; Organic residues; Food waste","1"
"Edible insects; qPCR; Fish feed; Tetracyclines; Aquaculture","1"
"black soldier fly; artificial selection; genetic improvement; body weight; insect farming industry","1"
"adaptive potential; climatic shifts; deforestation; ecosystem change; genomic architecture; human-driven evolution; standing genetic variation.","1"
"insect rearing; biomass production; food conversion; insects as feed and food; fecundity","1"
"laboratory adaptation, domestication, insect, evolutionary rate","1"
"admixture, conservation genetics, genetic diversity, invasive species, re-introductions","1"
"Municipal sewage sludge, Black soldier fly, Combined heavy metals","1"
"Drosophila melanogaster . Cadmium .Metallothionein . Heavy metal resistance . Accumulation","1"
"JUVENILE-HORMONE; BIOSYNTHESIS; ECDYSIS-TRIGGERING; HORMONE; ADIPOKINETIC HORMONE; SPODOPTERA-FRUGIPERDA; SCHISTOCERCA-GREGARIA; OVARIAN DEVELOPMENT; CORPORA ALLATA; NEUROPEPTIDE F; EGG-PRODUCTION; DESERT LOCUST","1"
"central nervous system; insect; functional differentiation; gene expression; differential display polymerase chain reaction","1"
"Silkworm; Cecropin B; Overexpression; Transgenic; Disease resistance","1"
"Taste; Natural population; Homeostasis; Nutrition; Feeding behaviour; Genomics","1"
"Black soldier fly; Antimicrobial peptide; Novel defensin gene; Antimicrobial activity","1"
"Genomic cloning; genetic engineering; insect biotechnology; recombinant proteins; sex control; silk","1"
"Metal-responsive transcription factor-1, Drosophila, Metallothioneins,T ranscriptional regulation, Heavy metal homeostasis","1"
"insect immunity; neuro-immunity; housekeeping genes; normalization; variability; transcription","1"
"black soldier fly; next generation sequencing; expression analysis; VOCs; OBPs; molecular docking","1"
"Metallothioneins Mtns Drosophila melanogaster Metal toxicity MTF-1 Protein-protein interactions","1"
"Agasicles hygrophila; Dichaete; oogenesis; Sox3","1"
"Silkworm; Black soldier fly; Antimicrobial peptide; Entomopathogenic bacteria resistance","1"
"Ovary development; Oogenesis; Transcriptome analysis; Reproductive regulation; Plutella xylostella","1"
"genomics; innate immunity; Lepidoptera; microevolutionary dynamics; selection dynamics","1"
"Black soldier flyMetallothioneinsCadmium (Cd) accumulationCd detoxification","1"
"Bombyx mori; pathogen; transgenic technology; gene editing; CRISPR system","1"
"clock genes; oogenesis; fertility; fecundity; Clock; cycle","1"
"insect immunity; antimicrobial peptide; trans-species polymorphism; balancing selection; convergent evolution","1"
"Aug21-Gal4; Antennal lobe intemeurons; Male-male courtship; Olfactory processing; Chemosensation","1"
"Bactrocera dorsalis; RNAi; detoxification; digestion; midgut","1"
"Pirata subpiraticus, Cadmium, Cry1Ab protein, Transcriptome, Gene regulation, Cuticle protein","1"
"Hermetia illucens; antibiotic resistance genes; rearing substrates; microalgae; coffee silverskin; frass","1"
"Transposable elements; Evolutionary dynamics; Domestication; Weak selection; Silkworm","1"
"microRNAs; Tribolium castaneum; metamorphosis; wing development","1"
"Domesticated traits; Epigenetic modifying enzymes; Selective sweeping; BmSuv4–20; BmDNMT2; Reproduction; Silkworm","1"
"Danger; Coenagrion puella; Injury; Homeostasis; RNAseq","1"
"Bactrocera dorsalis; transcriptome; ovary development; gene expression; Nanos gene","1"
"yellow mealworm; black soldier fly; BSF; honey bee; silkworm; crickets; genetic selection; genomics","1"
