"authors","paper_count"
NULL,"11"
"Denyse Cavalcante Lago; Martin Hasselmann; Klaus Hartfelder","2"
"Ary A. Hoffmann; Perran A. Ross","1"
"Valeriya Zabelina; Vyacheslav Klymenko; Toshiki Tamura; Karina Doroshenko; Haoyuan Liang; Hideki Sezutsu; and František Sehnal","1"
"Kevin Malod; Petrus D. Roets; Henrika Bosua; C. Ruth Archer; Christopher W. Weldon","1"
"Trevor M. Fowles; Christian Nansen","1"
"Günther V, Lindert U, Schaffner W","1"
"Kane J. Yoon1; Christopher B. Cunningham2; Amanda Bretman1; Elizabeth J. Duncan","1"
"Valeria Silva; Angelina Palcios-Munoz; Mariano Volonte; Lia Frenkel; John Ewer; Sheila Ons","1"
"Qiuying Chen; Xi Yang; Dongrui You; Jiaojiao Luo; Xiaojing Hu; Zhifeng Xu; Wei Xiao","1"
"Muhammad Salim Hakeemi; Salim Ansari; Matthias Teuscher; Matthias Weißkopf; Daniela Großmann; Tobias Kessel; Jürgen Dönitz; Janna Siemanowski; Xuebin Wan; Dorothea Schultheis; Manfred Frasch; Siegfried Roth; Michael Schoppmeier; Martin Klingler; Gregor Bucher","1"
"Zhao-Zhe Xin,† Qiu-Ning Liu,*,† Yu Liu, Dai-Zhen Zhang, Zheng-Fei Wang, Hua-Bin Zhang, Bao-Ming Ge, Chun-Lin Zhou, Xin-Yue Chai, and Bo-Ping Tang","1"
"Lelanie Hoffmann; Kelvin L. Hull; Anandi Bierman; Rozane Badenhorst; Aletta E. Bester-van der Merwe; Clint Rhode","1"
"Jason W Millington; George P Brownrigg; Charlotte Chao; Ziwei Sun; Paige J Basner-Collins; Lianna W Wat; Bruno Hudry; Irene Miguel-Aliaga; Elizabeth J Rideout","1"
"Nikolas Vellnow; Sonja Schindler; Tim Schmoll","1"
" Ning Jin; Yanxia Liu; Shouyu Zhang; Shibo Sun; Minghuo Wu; Xiaoying Dong; Huiyan Tong; Jianqiang Xu; Hao Zhou; Shui Guan; Weiping Xu","1"
"Shuai Zhan; Gangqi Fang; Minmin Cai; Zongqing Kou; Jun Xu1; Yanghui Cao; Liang Bai; Yixiang Zhang; Yongmao Jiang; Xingyu Luo; Jian Xu; Xia Xu; Longyu Zheng; Ziniu Yu; Hong Yang; Zhijian Zhang; Sibao Wang; Jeffery K. Tomberlin; Jibin Zhang; Yongping Huang","1"
"Zhang, J (Zhang, Jie); Shi, ZH (Shi, Zhihui); Gao, ZH (Gao, Zhenghui) ; Wen, YT (Wen, Yiting); Wang, WQ (Wang, Wanqiang); Liu, W (Liu, Wen); Wang, XP (Wang, Xiaoping); Zhu, F (Zhu, Fen)","1"
"Jeanneth Pérez; Vivian Mendez; Boaz Yuval; Phillip W. Taylor","1"
"Juan J. Fanara; Maria I. L. Beti; Luciano Gandini; Esteban Hasson","1"
"Alessia Giannetto; Sabrina Oliva; Carlos Frederico Ceccon Lanes;Fabio de Araújo Pedron; Domenico Savastano; Cosimo Bavieraa; Vincenzo Parrinoa; Giuseppe Lo Paroa; Nunzia Carla Spanòc; Tiziana Cappelloa; Maria Maisanoa; Angela Mauceria; Salvatore Fasuloa","1"
"Taro Nakamura; Guillem Ylla; Cassandra G Extavou","1"
"Scharlaken, B; de Graaf, DC; Goossens, K; Brunain, M; Peelman, LJ; Jacobs, FJ","1"
"Minmin Cai; Li Li; Zhengzheng Zhao; Ke Zhang; Fang Li; Chan Yu; Rongfang Yuan; Beihai Zhou; Zhuqing Ren; Ziniu Yu 1; Jibin Zhang","1"
"Min Wang; Ziyue Zhou; Simin Li; Wei Zhu; Xianda Hu","1"
"Kanakachari Mogilicherla; Amit Roy","1"
"Sabrina Lehmann; Bibi Atika; Daniela Grossmann; Christian Schmitt-Engel; Nadi Strohlein; Upalparna Majumdar; Tobias Richter; Matthias Weißkopf; Salim Ansari; Matthias Teuscher; Muhammad Salim Hakeemi; Jianwei Li; Bernhard Weißbecker; Martin Klingler; Gregor Bucher; Ernst A. Wimmer","1"
"Mahfooz, NS; Li, H; Popadic, A ","1"
"Jelle Boonekamp; Rolando Rodríguez-Muñoz; Paul Hopwood; Erica Zuidersma; Ellis Mulder; Alastair Wilson; Simon Verhulst; Tom Tregenza","1"
"Peng Xu; Min Shi; Xue-xin Chen","1"
"Jian Xu, Xingyu Luo, Gangqi Fang, Shuai Zhan, Jun Wu b, Dun Wang , Yongping Huang","1"
"James Rapkin; Kim Jensen; Clarissa M. House; Alastair J. Wilson; John Hunt","1"
"Qiu-Li Hou; Er-Hu Chen; Yi-Fei Xie; Wei Dou; Jin-Jun Wang","1"
"Juan A. Morales-Ramos; Hans C. Kelstrup; M. Guadalupe Rojas; Virginia Emery","1"
"Carolyn E Riddell; Juan D Lobaton Garces; Sally Adams; Seth M Barribeau; David Twell; Eamonn B Mallon","1"
"Kamala Jayanthi Pagadala Damodaram; Vivek Kempraj; Ravindra Mahadappa Aurade; Sowmya Bandhisara Rajasekhar; Ravindra Kothapalli Venkataramanappa; Bakthavatsalam Nandagopal; Abraham Verghese","1"
"Sarah Chérasse; Boris Baer; Morten Schiøtt; Jacobus J. Boomsma ","1"
"L. Sirot; R. Bansal; C. J. Esquivel; M. Arteaga-Vázquez; M. Herrera-Cruz; V. A. C. Pavinato; S. Abraham; K. Medina-Jiménez; M. Reyes-Hernández; A. Dorantes-Acosta; D. Pérez-Staples","1"
"Sushil K. Gaire; Saluna Pokhrel; Md Jamil Hossain Biswas; Bishwo P. Mainali; Vivian Mendez; Jeanneth Pérez; Phillip W. Taylor; Polychronis Rempoulakis.","1"
"Mari Pölkki; Indrikis Krams; Katariina Kangassalo; Markus J. Rantala","1"
"Carolina Gonçalves Santos; Fernanda Carvalho Humann; Klaus Hartfelder","1"
"Xiao-Ming Liu; Bang-Xian Zhang; Shi-Guang Li; Xiang-Jun Rao; Dong-Ming Wang; Xiao-Xuan Hu; Su Liu","1"
"Kelvin L. Hull; Matthew P. Greenwood; Melissa Lloyd; Aletta E. Bester-van der Merwe; Clint Rhode","1"
"Zhaolu Zhu; Kashif ur Rehman; Yongqiang Yu; Xiu Liu; Hui Wang; Jefery K. Tomberlin; Sing‑Hoi Sze; Minmin Cai; Jibin Zhang; Ziniu Yu; inshui Zheng; Longyu Zheng","1"
"Rolando Rodríguez-Muñoz; Paul Hopwood; Jelle J. Boonekamp; Stanley A. Edwards; Tom W. Price; Jasper Rees; Tom Tregenza.","1"
"Amanda E Crofton; Emily L Cartwright; Anna A Feitzinger; Susan E Lott","1"
"Marco Bonelli; Daniele Bruno; Matteo Brilli; Novella Gianfranceschi; Ling Tian; Gianluca Tettamanti ; Silvia Caccia 6; Morena Casartelli","1"
"Graham A. McCulloch; Jonathan M. Waters","1"
"Zhenghui Gao; Wenhui Deng; Fen Zhu","1"
"Ewen Burban; Maud I Tenaillon; Arnaud Le Rouzic","1"
"Gissela De la Cadena; Anna Papadopoulou; Jean-Michel Maes; Jesus Gomez-Zurita","1"
"Robert L. Unckless; Brian P. Lazzaro","1"
"G.-M. Shen; W. Dou; Y. Huang; X.-Z. Jiang; G. Smagghe and J.-J. Wang","1"
"Elizabeth B. Brown; Cody Patterson; Rayanne Pancoast; Stephanie M. Rollmann","1"
"Xi Zheng; Fengdan Liu; Min Shi; Shuo Li; Xiaofan Xie; Guannan Li; Xiaoning Zhang; Yong Zhu","1"
"Chengjun Li; Wei Wu; Jing Tang; Fan Feng; Peng Chen; Bin Li","1"
"Wenchao Tang; Yuanyuan Xiao; Guannan Li; Xi Zheng; Yaru Yin; Lingyan Wang; Yong Zhu","1"
"Jingjing Zhang; Jiahui Li; Yuanzhi Peng; Xiaokun Gao; Qi Song; Hongyuan Zhang; Osama Elhag; Minmin Cai; Longyu Zheng; Ziniu Yu; Jibin Zhang","1"
"Yong Peng, Bo Lv, Zi-yan Lei, Yuan-de Peng, Li-jun Chen, Zhi Wang,","1"
"Cynthia Lenaerts; Emilie Monjon; Joachim Van Lommel; Lina Verbakel; Jozef Vanden Broeck","1"
"Alejandra Carla Scannapieco; Claudia Alejandra Conte; Máximo Rivarola; Juan Pedro Wulff; Irina Muntaabski; Andrés Ribone; Fabián Milla; Jorge Luis Cladera; Silvia Beatriz Lanzavecchia","1"
"K. J. Burls; J. Shapiro; M. L. Forister; G. A. Hoelzer","1"
"O. Franz; T, Roder; M. Gewecke ","1"
"K. Tariq; W. Peng; G. Saccone; H. Zhang","1"
"J. Guilliet; G. Baudouin; N. Pollet; J. Filée","1"
"James F. Campbell; Christos G. Athanassiou; David W. Hagstrum; Kun Yan Zhu","1"
"Minmin Cai, Ruiqi Hu, Ke Zhang, Shiteng Ma, Longyu Zheng, Ziniu Yu & Jibin Zhang","1"
"Vesna Milanović, Andrea Roncolini, Federica Cardinali , Cristiana Garofalo, Lucia Aquilanti, Paola Riolo, Sara Ruschioni, Lorenzo Corsi, Nunzio Isidoro, Matteo Zarantoniello, Ike Olivotto, Simone Ceccobelli, Stefano Tavoletti, Francesca Clementi, and Andrea Osimani","1"
"D. Patrick Gainey; Jeremiah Y. Kim; Luana S. Maroja","1"
"C. Rhode; R. Badenhorst; K. L. Hulll; M. P. Greenwood; A. E. Bester-van der Merwe; A. A. Andere; C. J. Picard; C. Richards","1"
"Yuichi Nakajima; Atsushi Ogura","1"
"Yuxia Cui, Sandra J McBride, Windy A Boyd, Scott Alper, Jonathan H Freedman
","1"
"Yuki Mitaka; Eisuke Tasaki; Tomonari Nozaki; Taro Fuchikawa; Kazuya Kobayashi; Kenji Matsuura","1"
"Man Wang; Yongjian Lin; Shiyi Zhou; Yong Cui; Qili Feng; Wei Yan; Hui Xiang","1"
"Sofija Pavković-Lučić; Jelena Trajković; Dragana Miličić; Boban Anđelković; Luka Lučić; Tatjana Savić; Ljubodrag Vujisić","1"
"Daniel Bang Jørgensen; Michael Ørsted; Torsten Nygaard Kristensen","1"
"Brenda Oppert; Lindsey C. Perkin; Marcé Lorenzen; Aaron T. Dossey","1"
"Min‑Jin Han; Hong‑En Xu; Xiao‑Min Xiong; Hua‑Hao Zhang","1"
"Uliana Semaniuk; Dmytro Gospodaryov; Khrystyna Mishchanyn; Kenneth Storey; Oleh Lushchak","1"
"Takaomi Sakai; Toshihiro Kitamoto","1"
"Mayren Sánchez-Rosario; Diana Pérez-Staples; Jorge Toledo; Javier Valle-Mora; Pablo Liedo","1"
"Vinicius A. C. de Abreu, José Perdigão and Sintia Almeida","1"
"Alessia Giannetto; Sabrina Oliva; Lorenzo Mazza; Giovanni Mondello; Domenico Savastano; Angela Mauceri; Salvatore Fasulo","1"
"Tina W. Wey; Denis Réale; Clint D. Kelly","1"
"Wanqiang Wang; Wenzheng Tang; Xiaoping Wang; Wen Liu; Fen Zhu","1"
"Sarah DeRaedt; Anandi Bierman; Peter van Heusden; Cameron Richards; Alan Christoffels","1"
"Carmen Scieuzo; Marisa Nardiello; Donatella Farina; Andrea Scala; Jonathan A. Cammack; Jeffery K. Tomberlin; Heiko Vogel; Rosanna Salvia; Krishna Persaud; Patrizia Falabella","1"
"Sonali A. Deshpande; Matthew Meiselman; Robert H. Hice; Peter Arensburger; Crisalejandra Rivera-Perez; Do-Hyoung Kim; Rachel L. Croft; Fernando Gabriel Noriega; Michael E. Adams","1"
"Lijun Wang; Xinhui Liu; Zhengxing Liu; Xiaoping Wang; Chaoliang Lei; Fen Zhu","1"
"Wang Yiwen, Tian Xiaohan,  Zhu Chunfeng, Yu Xiaoyu, Miao Yaodong, Qiao Huanhuan ","1"
"Hongchang Gu; Liang Wang; Xueze Lv; Weifang Yang; Li Zhang; Zebin Zhang; Tao Zhu; Yaxiong Jia; Yu Chen; Lujiang Qu.","1"
"Kesen Zhu; Yanfei Chen; Lei Chen; and Hui Xiang","1"
"Osimani, Andrea ; Milanovic, V (Milanovic, Vesna); Cardinali, F (Cardinali, Federica); Garofalo, C (Garofalo, Cristiana); Clementi, F (Clementi, Francesca); Ruschioni, S (Ruschioni, Sara) ; Riolo, P (Riolo, Paola) ; Isidoro, N (Isidoro, Nunzio); Loreto, N (Loreto, Nino); Galarini, R (Galarini, Roberta) ; Moretti, S (Moretti, Simone) ; Petruzzelli, A (Petruzzelli, Annalisa); Micci, E (Micci, Eleonora); Tonucci, F (Tonucci, Franco); Aquilanti, L (Aquilanti, Lucia)","1"
"Sudong Qi; Bin Gao; Shunyi Zhu","1"
"Kejie Li, Zhanqi Dong; Minhui Pan","1"
"Wei Liu; Lei Chen; Shilai Zhang; Fengyi Hu; Zheng Wang; Jun Lyu; Bao Wang; Hui Xiang; Ruoping Zhao; Zhixi Tian; Song Ge; Wen Wang","1"
"Shou-Min Fang; Qiu-Zhong Zhou; Quan-You Yu; Ze Zhang.","1"
"MARCO V. G. TORRIANI; DOMINIQUE MAZZI; SILKE HEIN; SILVIA DORN","1"
"Daniel Stribling; Peter L. Chang; Justin E. Dalton; Christopher A. Conow; Malcolm Rosenthal; Eileen Hebets; Rita M. Graze; Michelle N. Arbeitman","1"
"Kim F. Rewitza; Michael B. O’Connorb; Lawrence I. Gilbert","1"
"T. M. Jones;  A. Balmford; R. J. Quin","1"
"Masasuke Ryuda; Seiji Tsuzuki; TeiichiTanimura; Sumio Tojo; Yoichi Hayakawa","1"
"Sonia Pascoal; Judith E. Risse; Xiao Zhang; Mark Blaxter; Timothee Cezard; Richard J. Challis; Karim Gharbi; John Hunt; Sujai Kumar; Emma Langan; Xuan Liu; Jack G. Rayner; Michael G. Ritchie; Basten L. Snoek; Urmi; Trivedi; Nathan W. Bailey","1"
"Xu Qiyun; Wu Zhongzhen; Zeng Xinnian; An Xincheng","1"
"Shanshan Gao; Shumei Liu; Tian Gao; Xinyi Zhang; Zhuangkun Huo; Kunpeng Zhang","1"
"Lu Li; Yu‐Qin Wang; Guang‐Ya Li; Qi‐Sheng Song; David Stanley; Shu‐Jun Wei; Jia‐Ying Zhu","1"
"Rui Gao; Chun-Lin Li; Xiao-Ling Tong; Min-Jin Han; Kun-Peng Lu; Shu-Bo Liang; Hai Hu; Yue Luan; Bi-Li Zhang; Yan-Yu Liu & Fang-Yin Dai","1"
"Rasalkar Sandhya Yashwant; Dyna Susan Thomas; Chitra Manoharan; Upendra Nongthomba; Vankadara Sivaprasad; Ravikumar Gopalapillai","1"
"Charity G. Owings; William P. Gilhooly; Christine J. Picard","1"
"Xiaofei Tong; Saki Yoshimura; Tetsuhiko Sasaki; Seiichi Furukawa","1"
"Naoko Toshima; Chieko Hara; Claus-Jürgen Scholz; Teiichi Tanimura","1"
"Johnston, PR; Rolff, J ","1"
"Wei Luo; Sethuraman Veeran; Jian Wang; Sheng Li; Kang Li; Su-Ning Liu","1"
"Y. Miyagawa, J. M. Lee, T. Maeda, K. Koga, Y. Kawaguchi, T. Kusakabe","1"
"Peng Chen; Wen-Fu Xiao; Min-Hui Pan; Jin-Shu Xiao; Yu-Jie Feng; Zhan-Qi Dong; Bang-Xing Zou; Li Zhou; You-Hong Zhang; Cheng Lu","1"
"Wan-Ying Dong; Yao Wang; Zhong-Shi Zhou; Jian-Ying Guo","1"
"Brigitte Dauwalder; Susan Tsujimoto; Jason Moss; William Mattox","1"
"Mei Luo, Cédric Finet, Haosu Cong, Hong-yi Wei and Henry Chung","1"
"Ann-Christin Honnen; Paul R. Johnston; Michael T. Monaghan ","1"
"Gunilla Ståhls; Rudolf Meier; Christoph Sandrock; Martin Hauser4; Ljiljana Šašić Zorić; Elina Laiho; Andrea Aracil; Jovana Doderović; Rozane Badenhorst; Phira Unadirekkul; Nur Arina Binte Mohd Adom; Leo Wein; Cameron Richards; Jeffery K. Tomberlin; Santos Rojo; Sanja Veselić; Tuure Parviainen","1"
"Keren Levy; Bettina Fishman; Anat Barnea; Amir Ayali; Eran Tauber","1"
"Xiaobang Hu; Matthew T. Leming;  Michelle A. Whaley; Joseph E. O'Tousa","1"
"Lianna W Wat; Zahid S Chowdhury; Jason W Millington; Puja Biswas; Elizabeth J Rideout","1"
"Xiaoyun Wang1 & Qiao Gao1 & Xinhui Liu1 & Xiao-Ping Wang2 & Chaoliang Lei2 & Waheed A. A. Sayed3 & Fen Zhu1,2","1"
"Pornanong Aramwit; Qiuran Jiang; Supritha Muppuri; Narendra Reddy.","1"
"W. K. Tonui; V. Ahuja; C. J. Beech; J. B. Connolly; B. Dass; D. C. M. Glandorf; S. James; J. N. Muchiri; C. F. Mugoya; E. A. Okoree; H. Quemada; J. Romeis","1"
"Jin, YL; Cong, B; Wang, LY; Gao, YG; Zhang, HY; Dong, H; Lin, ZW","1"
"Vesna Milanovi ́c, Federica Cardinali; Lucia Aquilanti; Antonietta Maoloni; Cristiana Garofalo; Matteo Zarantoniello; Ike Olivotto; Paola Riolo; Sara Ruschioni; Nunzio Isidoro; Matteo Cattalani; Gloriana Cardinaletti; Francesca Clementi; Andrea Osimani","1"
"Natuo Kômoto; Shuichiro Tomita","1"
"Santosh Jagadeeshan; Rama S. Singh","1"
"Marco T. Tejeda; José Arredondo-Gordillo; Dina Orozco-Dávila; Luis Quintero-Fong; Francisco Díaz-Fleischer","1"
"Elena Facchini; Kriti Shrestha; Estelle van den Boer; Petra Junes2; Gaya Sader; Katrijn Peeters; Eric Schmitt","1"
"Tomas N. Generalovic; Shane A. McCarthy; Ian A. Warren; Jonathan M.D. Wood; James Torrance; Ying Sims; Michael Quail; Kerstin Howe; Miha Pipan; Richard Durbin; Chris D. Jiggins","1"
"Lu Peng; Lei Wang; Yi-Fan Yang; Ming-Min Zou; Wei-Yi He; Yue Wang; Qing Wang; Liette Vasseur; Min-Sheng You","1"
"Jiasheng Song; Shutang Zhou","1"
"Brenda Oppert; Fu-Chyun Chu; Steven Reyna; Sofia Pinzi; Sherry Adrianos; Lindsey Perkin; Marcé Lorenzen","1"
"David Huyben; Aleksandar Vidaković; Sofia Werner Hallgren; Markus Langeland","1"
"Austin H. Nguyen & Laura E. Altomare & M. Catharine McElwain","1"
"Xiaoling Tong; Min-Jin Han; Kunpeng Lu; Shuaishuai Tai; Shubo Liang; Yucheng Liu; Hai Hu; Jianghong Shen; Anxing Long; Chengyu Zhan; Xin Ding; Shuo Liu; Qiang Gao; Bili Zhang; Linli Zhou; Duan Tan; Yajie Yuan; Nangkuo Guo; Yan-Hong Li; Zhangyan Wu; Lulu Liu; Chunlin Li; Yaru Lu; Tingting Gai; Yahui Zhang; Renkui Yang; Heying Qian; Yanqun Liu; Jiangwen Luo; Lu Zheng; Jinghou Lou; Yunwu Peng; Weidong Zuo; Jiangbo Song; Songzhen He; Songyuan Wu; Yunlong Zou; Lei Zhou; Lan Cheng; Yuxia Tang; Guotao Cheng; Lianwei Yuan; Weiming He; Jiabao Xu; Tao Fu; Yang Xiao; Ting Lei; Anying Xu; Ye Yin; Jian Wang; Antónia Monteiro; Eric Westhof; Cheng Lu; Zhixi Tian; Wen Wang; Zhonghuai Xiang; and Fangyin Dai.","1"
"Feinstein, Julie","1"
"Ihor S. Yurkevych; Lindsey J. Gray; Dmytro V. Gospodaryov; Nadia I. Burdylyuk; Kenneth B. Storey; Stephen J. Simpson; Oleh Lushchak","1"
"Zongqing Kou; Xingyu Luo; Yuguo Jiang; Bihui Chen; Yu Song; Yaohui Wang; Jun Xu; Jeffery K. Tomberlin; Yongping Huang","1"
"Rui Xiao; Yi Yuan; Hengchuan Xia; Qi Ge; Liang Chen; Feifei Zhu; Jia Xu; Xueqi Wang; Yixuan Fan; Qiang Wang; Yanhua Yang; Keping Chen","1"
"Tobias Uller; Roosa Leimu","1"
"Naomi L.P. Keehnen; Jason Hill; Sören Nylin; Christopher W. Wheat","1"
"Ryuda, M (Ryuda, Masasuke); Tsuzuki, S (Tsuzuki, Seiji); Matsumoto, H (Matsumoto, Hitoshi); Oda, Y (Oda, Yasunori); Tanimura, T (Tanimura, Teiichi); Hayakawa, Y (Hayakawa, Yoichi)","1"
"T. Eriksson; C.J. Picard","1"
"Andrés Mesas; Angélica Jaramillo; Luis E. Castañeda","1"
"Juan A. Morales-Ramos; M. Guadalupe Rojas; Damian Tweedy; Virginia Emery; Hans C. Kelstrup","1"
"Ya-Nan Zhu; Li-Zhi Wang; Cen-Cen Li; Yong Cui; Man Wang; Yong-Jian Lin; Ruo-Ping Zhao; Wen Wang; Hui Xiang","1"
"Dilip K. Nag; Constentin Dieme; Pascal Lapierre; Erica Lasek-Nesselquist; Laura D. Kramer","1"
"Dong-Bin Chen; Run-Xi Xia; Qun Li; Yu-Ping Li; Hui-Ying Cao; Yan-Qun Liu","1"
"Angeliki Paspati; Kim B. Ferguson; Eveline C. Verhulst; Alberto Urbaneja; Joel Gonzalez-Cabrera; Bart A. Pannebakker","1"
"Xiaoyan Peng; Jiawen Liu; Baoling Li; Shengyin Wang; Bosheng Chen; Dayu Zhang","1"
"Wada-Katsumata A; Robertson HM; Silverman J; Schal C.","1"
"Dongmei Jiang, Kunhong Jiang, Rui Li, Liangbin Zhao, Zile Liu, Bangjie Xiong, Du Jin, Xiaoxia Hao, Li Zhu, Bo Kang & Lin Bai","1"
"Meng Yue Wu; Giovanni Forcina; Gabriel Weijie Low; Keren R. Sadanandan; Chyi Yin Gwee; Hein van Grouw; Shaoyuan Wu; Scott V. Edwards; Maude W. Baldwin; Frank E. Rheindt","1"
"Katerina Nikolouli; Hervé Colinet; Christian Stauffer; Kostas Bourtzis","1"
"Wen, FS; Yang, J; Huang, XR; Huang, XL","1"
"Lei Gao; Itay Gonda; Honghe Sun; Qiyue Ma; Kan Bao; Denise M. Tieman; Elizabeth A. Burzynski-Chang; Tara L. Fish; Kaitlin A. Stromberg; Gavin L. Sacks; Theodore W. Thannhauser; Majid R. Foolad; Maria Jose Diez; Jose Blanca; Joaquin Canizares; Yimin Xu; Esther van der Knaap; Sanwen Huang; Harry J. Klee; James J. Giovannoni; Zhangjun Fei.","1"
"Napamanee Kornthong; Scott F. Cummins; Charoonroj Chotwiwatthanakun; Kanjana Khornchatri; Attakorn Engsusophon; Peter J. Hanna; Prasert Sobhon ","1"
"L. M. Beaver; B. L. Rush; B. O. Gvakharia; J. M. Giebultowicz","1"
"Martin Klingler; Gregor Bucher","1"
"Vasco Medici; Sibylle Chantal Vonesch; Steven N. Fry; Ernst Hafen","1"
"Ali, B., Zhou, Y., Zhang, Q., Niu, C., & Zhu, Z.","1"
" Xuan Deng; Lianlian Liu; Jing Deng; Xingfu Zha","1"
"Kim Rohlfing; Lennart Yue; Sebastian Franke; Cen Zeng; Lars Podsiadlowski; Susanne Dobler","1"
"Viola Günther,Dominique Waldvogel,Michael Nosswitz, OlegGeorgie, WalterSchaffner","1"
"Mark A. Hanson; Bruno Lemaitre; Robert L. Unckless","1"
"Cai, R., Wu, X., Wang, X., & Xu, X.","1"
